Organism Name,sample_type
viral metagenome,viral metagenome
human viral metagenome,viral metagenome
marine metagenome,marine metagenome
human oral metagenome,human metagenome
Equus caballus,animal metagenome
Homo sapiens,human metagenome
sediment metagenome,sediment metagenome
soil metagenome,soil metagenome
mouse gut metagenome,animal metagenome
human metagenome,human metagenome
gut metagenome,human metagenome
metagenome,unknown
human gut metagenome,human metagenome
human skin metagenome,human metagenome
pig gut metagenome,animal metagenome
oral metagenome,human metagenome
rhizosphere metagenome,plant metagenome
feces metagenome,human metagenome
human nasopharyngeal metagenome,human metagenome
bovine gut metagenome,animal metagenome
human blood metagenome,human metagenome
seawater metagenome,marine metagenome
Mus musculus,animal metagenome
chicken gut metagenome,animal metagenome
